Face_ID,Attention_Time_s,start_time,end_time,Total_Time_s
1,0.16,33.45,36.17,0.16
2,3.09,33.62,37.86,3.09
3,4.62,12.79,17.35,4.62

Summary
Total_People_Watched,3
Total_Attention_Time_s,7.87
Average_Attention_Time_s,2.62
Campaign_Duration_s,38.34
