Face_ID,Attention_Time_s,start_time,end_time,Total_Time_s
1,2.34,38.43,41.24,2.34
2,0.17,41.27,41.58,0.17
3,0.05,42.43,42.43,0.05

Summary
Total_People_Watched,3
Total_Attention_Time_s,2.56
Average_Attention_Time_s,0.85
Campaign_Duration_s,59.04
