Face_ID,Attention_Time_s,Total_Time_s
1,5.19,5.19
2,3.1,3.1
3,1.95,1.95
4,2.27,2.27
5,0.97,0.97
6,0.32,0.32
7,7.93,7.93
8,2.57,2.57
9,0.06,0.06
10,0.16,0.16
11,1.87,1.87
12,0.91,0.91

Summary
Total_People_Watched,12
Total_Attention_Time_s,27.32
Average_Attention_Time_s,2.28
Campaign_Duration_s,43.01
