Campaign_Start_Time,00:29:50

Face_ID,Start_Time,End_Time,Attention_Time_s,Total_Time_s
6,00:30:25,00:30:25,0.2,0.2
1,00:30:15,00:30:26,5.88,5.88
3,00:30:23,00:30:27,0.57,0.57
4,00:30:24,00:30:27,0.64,0.64
5,00:30:24,00:30:28,1.38,1.38
4,00:30:31,00:30:31,0.36,0.36
5,00:30:33,00:30:34,0.17,0.17
2,00:30:19,00:30:43,17.81,17.81
1,00:30:39,00:30:43,1.4,1.4

Summary
Unique_People,6
Total_Attention_Time_s,28.41
Average_Attention_Time_s,4.73
Campaign_Duration_s,53.54
